iter	Passed	Remaining
1132	26994	20656
1133	27013	20629
1134	27039	20607
1135	27059	20580
1136	27080	20554
1137	27102	20529
1138	27126	20505
1139	27145	20477
1140	27164	20450
1141	27188	20427
1142	27212	20403
1143	27231	20376
1144	27256	20352
1145	27278	20328
1146	27299	20301
1147	27319	20275
1148	27348	20255
1149	27368	20228
1150	27389	20202
1151	27411	20178
1152	27432	20152
1153	27452	20125
1154	27471	20098
1155	27496	20075
1156	27524	20054
1157	27547	20030
1158	27571	20006
1159	27593	19981
1160	27617	19957
1161	27637	19931
1162	27657	19905
1163	27682	19881
1164	27701	19854
1165	27720	19827
1166	27743	19803
1167	27765	19777
1168	27790	19755
1169	27810	19728
1170	27830	19702
1171	27852	19677
1172	27875	19652
1173	27897	19628
1174	27917	19601
1175	27940	19577
1176	27960	19551
1177	27980	19524
1178	28003	19500
1179	28023	19473
1180	28045	19448
1181	28065	19422
1182	28086	19397
1183	28109	19372
1184	28131	19348
1185	28154	19323
1186	28177	19298
1187	28196	19272
1188	28219	19247
1189	28240	19222
1190	28264	19199
1191	28288	19175
1192	28309	19149
1193	28333	19126
1194	28355	19101
1195	28378	19077
1196	28400	19052
1197	28421	19026
1198	28443	19001
1199	28466	18977
1200	28487	18952
1201	28509	18927
1202	28531	18902
1203	28551	18876
1204	28571	18850
1205	28592	18824
1206	28611	18797
1207	28634	18773
1208	28655	18748
1209	28678	18723
1210	28699	18698
1211	28726	18677
1212	28750	18653
1213	28771	18627
1214	28792	18602
1215	28815	18578
1216	28837	18553
1217	28861	18529
1218	28881	18504
1219	28901	18477
1220	28919	18450
1221	28942	18426
1222	28966	18402
1223	28984	18375
1224	29008	18352
1225	29027	18325
1226	29046	18298
1227	29069	18274
1228	29088	18248
1229	29109	18223
1230	29129	18196
1231	29150	18171
1232	29173	18147
1233	29192	18121
1234	29212	18095
1235	29235	18071
1236	29255	18045
1237	29275	18019
1238	29297	17994
1239	29317	17968
1240	29342	17945
1241	29361	17919
1242	29380	17893
1243	29399	17866
1244	29419	17840
1245	29441	17816
1246	29464	17792
1247	29485	17766
1248	29509	17743
1249	29530	17718
1250	29552	17693
1251	29575	17669
1252	29594	17643
1253	29615	17617
1254	29635	17592
1255	29657	17567
1256	29678	17542
1257	29700	17518
1258	29719	17491
1259	29744	17468
1260	29765	17443
1261	29786	17418
1262	29807	17393
1263	29829	17369
1264	29851	17344
1265	29871	17318
1266	29895	17295
1267	29916	17270
1268	29938	17245
1269	29960	17221
1270	29982	17196
1271	30006	17173
1272	30028	17149
1273	30051	17124
1274	30073	17100
1275	30095	17076
1276	30116	17051
1277	30135	17024
1278	30155	16999
1279	30177	16974
1280	30196	16948
1281	30215	16922
1282	30238	16898
1283	30257	16872
1284	30279	16848
1285	30303	16825
1286	30325	16800
1287	30344	16774
1288	30370	16751
1289	30389	16726
1290	30408	16699
1291	30427	16673
1292	30447	16648
1293	30468	16623
1294	30489	16598
1295	30511	16573
1296	30530	16548
1297	30552	16523
1298	30572	16498
1299	30593	16473
1300	30612	16447
1301	30632	16422
1302	30651	16396
1303	30670	16370
1304	30694	16346
1305	30715	16322
1306	30737	16297
1307	30758	16272
1308	30777	16247
